general_election_year,constituency_name,by_election_date,incumbent_mp_name,incumbent_elected_party_name,incumbent_final_party_name,winner_mp_name,winner_party_name,cause,cause_category,governing_outcome
2017,Brecon and Radnorshire,2019-08-01,Chris Davies,Conservative,Conservative,Jane Dodds,Liberal Democrats,"Successful recall petition via the provisions of the Recall of MPs Act 2015, after Davies' conviction for false expenses claims, pursuant to the Parliamentary Standards Act 2009.",Recall,Opposition Gain
2019,Hartlepool,2021-05-06,Mike Hill,Labour,Labour,Jill Mortimer,Conservative,Resignation following allegations of sexual harassment and victimisation.,Resignation,Government Gain
2019,Airdrie and Shotts,2021-05-13,Neil Gray,SNP,SNP,Anum Qaisar,SNP,Resignation to contest the seat of Airdrie and Shotts in the Scottish Parliament.,Alternative office,Opposition Defence
2019,Chesham and Amersham,2021-06-17,Cheryl Gillan,Conservative,Conservative,Sarah Green,Liberal Democrats,Death (cancer).,Death,Opposition Gain
2019,Batley and Spen,2021-07-01,Tracy Brabin,Labour,Labour,Kim Leadbeater,Labour,Resignation after being elected as Mayor of West Yorkshire.,Alternative office,Opposition Defence
2019,Old Bexley and Sidcup,2021-12-02,James Brokenshire,Conservative,Conservative,Louie French,Conservative,Death (cancer).,Death,Government Defence
2019,Shropshire North,2021-12-16,Owen Paterson,Conservative,Conservative,Helen Morgan,Liberal Democrats,Resignation after having been found to have broken lobbying rules.,Resignation,Opposition Gain
2019,Southend West,2022-02-03,David Amess,Conservative,Conservative,Anna Firth,Conservative,Death (murder).,Death,Government Defence
2019,Birmingham Erdington,2022-03-03,Jack Dromey,Labour,Labour,Paulette Hamilton,Labour,Death (heart failure).,Death,Opposition Defence
2019,Wakefield,2022-06-23,Imran Ahmad Khan,Conservative,Conservative,Simon Lightwood,Labour,Resignation after being convicted of sexually assaulting a 15-year-old boy.,Resignation,Opposition Gain
2019,Tiverton and Honiton,2022-06-23,Neil Parish,Conservative,Conservative,Richard Foord,Liberal Democrats,Resignation after being accused of watching pornography in the House of Commons on two occasions.,Resignation,Opposition Gain
2019,"Chester, City of",2022-12-01,Chris Matheson,Labour,Labour,Samantha Dixon,Labour,Resignation after being suspended for serious sexual misconduct,Resignation,Opposition Defence
2019,Stretford and Urmston,2022-12-15,Kate Green,Labour,Labour,Andrew Western,Labour,Resignation to take up job as deputy mayor of Greater Manchester,Appointment,Opposition Defence
2019,Lancashire West,2023-02-09,Rosie Cooper,Labour,Labour,Ashley Dalton,Labour,Resignation to take up job as chair of Mersey Care NHS Foundation Trust.,Appointment,Opposition Defence
2019,Uxbridge and South Ruislip,2023-07-20,Boris Johnson,Conservative,Conservative,Steve Tuckwell,Conservative,"Resignation ""with immediate effect"" after being handed results of investigation into allegations he misled Parliament over Partygate.",Resignation,Government Defence
2019,Selby and Ainsty,2023-07-20,Nigel Adams,Conservative,Conservative,Keir Mather,Labour,"Resignation ""with immediate effect"".",Resignation,Opposition Gain
2019,Somerton and Frome,2023-07-20,David Warburton,Conservative,Conservative,Sarah Dyke,Liberal Democrats,"Announced his resignation on 17 June, 14 months after being suspended from the Conservative Party pending an investigation.",Resignation,Opposition Gain
2019,Rutherglen and Hamilton West,2023-10-05,Margaret Ferrier,SNP,SNP,Michael Shanks,Labour,"Successful recall petition via the provisions of the Recall of MPs Act 2015, after Ferrier broke COVID-19 rules in 2020.",Recall,Opposition Gain
2019,Tamworth,2023-10-19,Chris Pincher,Conservative,Conservative,Sarah Edwards,Labour,Resignation after losing his appeal for his suspension due to groping allegations.,Resignation,Opposition Gain
2019,Bedfordshire Mid,2023-10-19,Nadine Dorries,Conservative,Conservative,Alistair Strathern,Labour,"Resignation ""with immediate effect"", although had not formally resigned until 26 August.",Resignation,Opposition Gain
2019,Kingswood,2024-02-15,Chris Skidmore,Conservative,Conservative,Damien Egan,Labour,Resignation in protest of the Conservative government's bill to grant new oil and gas licences.,Resignation,Opposition Gain
2019,Wellingborough,2024-02-15,Peter Bone,Conservative,Conservative,Gen Kitchen,Labour,Successful recall petition after allegations of bullying and sexual misconduct.,Recall,Opposition Gain
2019,Rochdale,2024-02-29,Tony Lloyd,Labour,Labour,George Galloway,Workers Party of Britain,Death (leukaemia),Death,Opposition Defence
2019,Blackpool South,2024-05-02,Scott Benton,Conservative,Conservative,Chris Webb,Labour,Resigned after being suspended for five weeks and being subject to a recall petition,Resignation,Opposition Gain
